酒店专区,#genre#
CCTV1,https://星河.xyz/太白金星李长寿/mq.php?id=cctv1
CCTV2,https://星河.xyz/太白金星李长寿/mq.php?id=cctv2
CCTV3,https://星河.xyz/太白金星李长寿/mq.php?id=cctv3
CCTV4,https://星河.xyz/太白金星李长寿/mq.php?id=cctv4
CCTV4欧洲,https://星河.xyz/太白金星李长寿/mq.php?id=cctv4o
CCTV4美洲,https://星河.xyz/太白金星李长寿/mq.php?id=cctv4a
CCTV5,https://星河.xyz/太白金星李长寿/mq.php?id=cctv5
CCTV5+,https://星河.xyz/太白金星李长寿/mq.php?id=cctv5p
CCTV6,https://星河.xyz/太白金星李长寿/mq.php?id=cctv6
CCTV7,https://星河.xyz/太白金星李长寿/mq.php?id=cctv7
CCTV8,https://星河.xyz/太白金星李长寿/mq.php?id=cctv8
CCTV9,https://星河.xyz/太白金星李长寿/mq.php?id=cctv9
CCTV10,https://星河.xyz/太白金星李长寿/mq.php?id=cctv10
CCTV11,https://星河.xyz/太白金星李长寿/mq.php?id=cctv11
CCTV12,https://星河.xyz/太白金星李长寿/mq.php?id=cctv12
CCTV13,https://星河.xyz/太白金星李长寿/mq.php?id=cctv13
CCTV14,https://星河.xyz/太白金星李长寿/mq.php?id=cctv14
CCTV15,https://星河.xyz/太白金星李长寿/mq.php?id=cctv15
CCTV17,https://星河.xyz/太白金星李长寿/mq.php?id=cctv17
CGTN,https://星河.xyz/太白金星李长寿/mq.php?id=cgtn
CGTN2,https://星河.xyz/太白金星李长寿/mq.php?id=cgtn2
CETV1,https://星河.xyz/太白金星李长寿/mq.php?id=cetv1
CETV2,https://星河.xyz/太白金星李长寿/mq.php?id=cetv2
CETV4,https://星河.xyz/太白金星李长寿/mq.php?id=cetv4
CHC影迷电影,https://星河.xyz/太白金星李长寿/mq.php?id=chcym
CHC动作电影,https://星河.xyz/太白金星李长寿/mq.php?id=chcdz
CHC家庭影院,https://星河.xyz/太白金星李长寿/mq.php?id=chcjt
北京卫视,https://星河.xyz/太白金星李长寿/mq.php?id=bjws
东方卫视,https://星河.xyz/太白金星李长寿/mq.php?id=dfws
天津卫视,https://星河.xyz/太白金星李长寿/mq.php?id=tjws
重庆卫视,https://星河.xyz/太白金星李长寿/mq.php?id=cqws
黑龙江卫视,https://星河.xyz/太白金星李长寿/mq.php?id=hljws
吉林卫视,https://星河.xyz/太白金星李长寿/mq.php?id=jlws
辽宁卫视,https://星河.xyz/太白金星李长寿/mq.php?id=lnws
内蒙古卫视,https://星河.xyz/太白金星李长寿/mq?id=nmws
宁夏卫视,https://星河.xyz/太白金星李长寿/mq.php?id=nxws
甘肃卫视,https://星河.xyz/太白金星李长寿/mq.php?id=gsws
青海卫视,https://星河.xyz/太白金星李长寿/mq.php?id=qhws
陕西卫视,https://星河.xyz/太白金星李长寿/mq.php?id=sxws
河北卫视,https://星河.xyz/太白金星李长寿/mq.php?id=hbws
山西卫视,https://星河.xyz/太白金星李长寿/mq.php?id=sxiws
山东卫视,https://星河.xyz/太白金星李长寿/mq.php?id=sdws
安徽卫视,https://星河.xyz/太白金星李长寿/mq.php?id=ahws
河南卫视,https://星河.xyz/太白金星李长寿/mq.php?id=hnws
河南卫视4K,https://星河.xyz/太白金星李长寿/mq.php?id=hnws4k
湖北卫视,https://星河.xyz/太白金星李长寿/mq.php?id=hubws
湖南卫视,https://星河.xyz/太白金星李长寿/mq.php?id=hunws
江西卫视,https://星河.xyz/太白金星李长寿/mq.php?id=jxws
浙江卫视,https://星河.xyz/太白金星李长寿/mq.php?id=zjws
东南卫视,https://星河.xyz/太白金星李长寿/mq.php?id=dnws
厦门卫视,https://星河.xyz/太白金星李长寿/mq.php?id=xmws
广东卫视,https://星河.xyz/太白金星李长寿/mq.php?id=gdws
深圳卫视,https://星河.xyz/太白金星李长寿/mq.php?id=szws
广西卫视,https://星河.xyz/太白金星李长寿/mq.php?id=gxws
云南卫视,https://星河.xyz/太白金星李长寿/mq.php?id=ynws
贵州卫视,https://星河.xyz/太白金星李长寿/mq.php?id=gzws
四川卫视,https://星河.xyz/太白金星李长寿/mq.php?id=scws
新疆卫视,https://星河.xyz/太白金星李长寿/mq.php?id=xjws
兵团卫视,https://星河.xyz/太白金星李长寿/mq.php?id=btws
西藏卫视,https://星河.xyz/太白金星李长寿/mq.php?id=xzws
海南卫视,https://星河.xyz/太白金星李长寿/mq.php?id=hinws
三沙卫视,https://星河.xyz/太白金星李长寿/mq.php?id=ssws
河南都市,https://星河.xyz/太白金星李长寿/mq.php?id=hnds
河南电视剧,https://星河.xyz/太白金星李长寿/mq.php?id=hndsj
河南新闻,https://星河.xyz/太白金星李长寿/mq.php?id=hnxw
河南新乡村,https://星河.xyz/太白金星李长寿/mq.php?id=hnxc
河南法制,https://星河.xyz/太白金星李长寿/mq.php?id=hnfz
国学频道,https://星河.xyz/太白金星李长寿/mq.php?id=gxpd
河南移动,https://星河.xyz/太白金星李长寿/mq.php?id=hnyd
河南戏曲,https://星河.xyz/太白金星李长寿/mq.php?id=hnxq
河南收藏,https://星河.xyz/太白金星李长寿/mq.php?id=hnsc
河南功夫,https://星河.xyz/太白金星李长寿/mq.php?id=hngf
商丘新闻综合,https://星河.xyz/太白金星李长寿/mq.php?id=sq1
商丘公共,https://星河.xyz/太白金星李长寿/mq.php?id=sq2
商丘文体科技,https://星河.xyz/太白金星李长寿/mq.php?id=sq3
卡酷少儿,https://星河.xyz/太白金星李长寿/mq.php?id=kkse
中华特产,https://星河.xyz/太白金星李长寿/mq.php?id=zhtc
魅力时尚,https://星河.xyz/太白金星李长寿/mq.php?id=mlss
新动漫,https://星河.xyz/太白金星李长寿/mq.php?id=xdm
山东教育卫视,https://星河.xyz/太白金星李长寿/mq.php?id=sdjy
金鹰纪实,https://星河.xyz/太白金星李长寿/mq.php?id=jyjs
金鹰卡通,https://星河.xyz/太白金星李长寿/mq.php?id=jykt
先锋乒羽,https://星河.xyz/太白金星李长寿/mq.php?id=xfpy
嘉佳卡通,https://星河.xyz/太白金星李长寿/mq.php?id=jjkt

西安酒店,#genre#
CCTV1,https://星河.xyz/太白金星李长寿/西安.php?id=0
CCTV2,https://星河.xyz/太白金星李长寿/西安.php?id=1
CCTV3,https://星河.xyz/太白金星李长寿/西安.php?id=2
CCTV4,https://星河.xyz/太白金星李长寿/西安.php?id=3
CCTV5,https://星河.xyz/太白金星李长寿/西安.php?id=4
CCTV5+,https://星河.xyz/太白金星李长寿/西安.php?id=15
CCTV6,https://星河.xyz/太白金星李长寿/西安.php?id=5
CCTV7,https://星河.xyz/太白金星李长寿/西安.php?id=6
CCTV8,https://星河.xyz/太白金星李长寿/西安.php?id=7
CCTV9,https://星河.xyz/太白金星李长寿/西安.php?id=8
CCTV10,https://星河.xyz/太白金星李长寿/西安.php?id=9
CCTV11,https://星河.xyz/太白金星李长寿/西安.php?id=10
CCTV12,https://星河.xyz/太白金星李长寿/西安.php?id=11
CCTV13,https://星河.xyz/太白金星李长寿/西安.php?id=12
CCTV14,https://星河.xyz/太白金星李长寿/西安.php?id=13
CCTV15,https://星河.xyz/太白金星李长寿/西安.php?id=14
CCTV16,https://星河.xyz/太白金星李长寿/西安.php?id=16
CCTV17,https://星河.xyz/太白金星李长寿/西安.php?id=17
风云剧场,https://星河.xyz/太白金星李长寿/西安.php?id=18
风云足球,https://星河.xyz/太白金星李长寿/西安.php?id=19
怀旧剧场,https://星河.xyz/太白金星李长寿/西安.php?id=20
凤凰资讯,https://星河.xyz/太白金星李长寿/西安.php?id=199
凤凰中文,https://星河.xyz/太白金星李长寿/西安.php?id=200
陕西卫视,https://星河.xyz/太白金星李长寿/西安.php?id=shxws
北京卫视,https://星河.xyz/太白金星李长寿/西安.php?id=bjws
东方卫视,https://星河.xyz/太白金星李长寿/西安.php?id=shws
天津卫视,https://星河.xyz/太白金星李长寿/西安.php?id=tjws
黑龙江卫视,https://星河.xyz/太白金星李长寿/西安.php?id=hljws
吉林卫视,https://星河.xyz/太白金星李长寿/西安.php?id=jlws
辽宁卫视,https://星河.xyz/太白金星李长寿/西安.php?id=lnws
甘肃卫视,https://星河.xyz/太白金星李长寿/西安.php?id=gsws
山东卫视,https://星河.xyz/太白金星李长寿/西安.php?id=sdws
安徽卫视,https://星河.xyz/太白金星李长寿/西安.php?id=ahws
