
央视频道,#genre#
CCTV1,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CCTV1
CCTV2,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CCTV2
CCTV3,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CCTV3
CCTV4,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CCTV4
CCTV5,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CCTV5
CCTV5p,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CCTV5p
CCTV6,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CCTV6
CCTV7,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CCTV7
CCTV8,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CCTV8
CCTV9,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CCTV9
CCTV10,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CCTV10
CCTV11,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CCTV11
CCTV12,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CCTV12
CCTV13,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CCTV13
CCTV14,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CCTV14
CCTV15,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CCTV15
CCTV16,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CCTV16
CCTV17,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CCTV17
CGTN英语,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CGTN英语
CGTN记录,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CGTN记录
CGTN西语,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CGTN西语
CGTN法语,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CGTN法语
CGTN阿语,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CGTN阿语
CGTN俄语,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CGTN俄语
卫视频道,#genre#
北京卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=北京卫视
湖南卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=湖南卫视
浙江卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=浙江卫视
江苏卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=江苏卫视
广东卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=广东卫视
大湾区卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=大湾区卫视
东方卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=东方卫视
东南卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=东南卫视
辽宁卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=辽宁卫视
深圳卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=深圳卫视
天津卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=天津卫视
安徽卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=安徽卫视
河北卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=河北卫视
重庆卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=重庆卫视
吉林卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=吉林卫视
黑龙江卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=黑龙江卫视
山东卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=山东卫视
海南卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=海南卫视
贵州卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=贵州卫视
湖北卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=湖北卫视
河南卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=河南卫视
广西卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=广西卫视
江西卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=江西卫视
陕西卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=陕西卫视
宁夏卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=宁夏卫视
内蒙古卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=内蒙古卫视
四川卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=四川卫视
山西卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=山西卫视
甘肃卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=甘肃卫视
新疆卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=新疆卫视
青海卫视,http://api.mytv666.top/api/qwt.php?t=卫视频道&id=青海卫视
少儿频道,#genre#
CCTV少儿,http://api.mytv666.top/api/qwt.php?t=少儿频道&id=CCTV少儿
CETV1,http://api.mytv666.top/api/qwt.php?t=少儿频道&id=CETV1
CETV2,http://api.mytv666.top/api/qwt.php?t=少儿频道&id=CETV2
CETV4,http://api.mytv666.top/api/qwt.php?t=少儿频道&id=CETV4
卡酷少儿,http://api.mytv666.top/api/qwt.php?t=少儿频道&id=卡酷少儿
金鹰卡通,http://api.mytv666.top/api/qwt.php?t=少儿频道&id=金鹰卡通
哈哈炫动,http://api.mytv666.top/api/qwt.php?t=少儿频道&id=哈哈炫动
优漫卡通,http://api.mytv666.top/api/qwt.php?t=少儿频道&id=优漫卡通
嘉佳卡通,http://api.mytv666.top/api/qwt.php?t=少儿频道&id=嘉佳卡通
ZooMoo,http://api.mytv666.top/api/qwt.php?t=少儿频道&id=ZooMoo
Nickelodeon,http://api.mytv666.top/api/qwt.php?t=少儿频道&id=Nickelodeon
NickJr儿童频道,http://api.mytv666.top/api/qwt.php?t=少儿频道&id=NickJr儿童频道
i-Fun動漫台,http://api.mytv666.top/api/qwt.php?t=少儿频道&id=i-Fun動漫台
影视频道~8218,#genre#
POPC,http://api.mytv666.top/api/qwt.php?t=影视频道&id=POPC
Now爆谷台,http://api.mytv666.top/api/qwt.php?t=影视频道&id=Now爆谷台
Now星影台,http://api.mytv666.top/api/qwt.php?t=影视频道&id=Now星影台
天映经典,http://api.mytv666.top/api/qwt.php?t=影视频道&id=天映经典
TVB功夫台(国),http://api.mytv666.top/api/qwt.php?t=影视频道&id=TVB功夫台(国)
TVB功夫台(粤),http://api.mytv666.top/api/qwt.php?t=影视频道&id=TVB功夫台(粤)
美亚电影(国),http://api.mytv666.top/api/qwt.php?t=影视频道&id=美亚电影(国)
美亚电影(粤),http://api.mytv666.top/api/qwt.php?t=影视频道&id=美亚电影(粤)
中国电影频道,http://api.mytv666.top/api/qwt.php?t=影视频道&id=中国电影频道
纬来电影,http://api.mytv666.top/api/qwt.php?t=影视频道&id=纬来电影
东森电影,http://api.mytv666.top/api/qwt.php?t=影视频道&id=东森电影
东森洋片,http://api.mytv666.top/api/qwt.php?t=影视频道&id=东森洋片
tvN,http://api.mytv666.top/api/qwt.php?t=影视频道&id=tvN
Kix,http://api.mytv666.top/api/qwt.php?t=影视频道&id=Kix
ROCK超级娱乐,http://api.mytv666.top/api/qwt.php?t=影视频道&id=ROCK超级娱乐
ROCK综艺娱乐,http://api.mytv666.top/api/qwt.php?t=影视频道&id=ROCK综艺娱乐
AXN,http://api.mytv666.top/api/qwt.php?t=影视频道&id=AXN
Animax,http://api.mytv666.top/api/qwt.php?t=影视频道&id=Animax
Thrill惊悚,http://api.mytv666.top/api/qwt.php?t=影视频道&id=Thrill惊悚
美亚电影台,http://api.mytv666.top/api/qwt.php?t=影视频道&id=美亚电影台
AXN頻道,http://api.mytv666.top/api/qwt.php?t=影视频道&id=AXN頻道
华纳电影,http://api.mytv666.top/api/qwt.php?t=影视频道&id=华纳电影
CINEMAX,http://api.mytv666.top/api/qwt.php?t=影视频道&id=CINEMAX
HBOHD,http://api.mytv666.top/api/qwt.php?t=影视频道&id=HBOHD
HBO原创,http://api.mytv666.top/api/qwt.php?t=影视频道&id=HBO原创
HBO强档,http://api.mytv666.top/api/qwt.php?t=影视频道&id=HBO强档
HBO家庭,http://api.mytv666.top/api/qwt.php?t=影视频道&id=HBO家庭
好莱坞电影,http://api.mytv666.top/api/qwt.php?t=影视频道&id=好莱坞电影
