ofiii直播,#genre#
台視,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=4gtv-4gtv066&sd=1080&proxy=true
台視新聞,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=4gtv-4gtv051&sd=1080&proxy=true
中視,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=4gtv-4gtv040&sd=1080&proxy=true
中視新聞,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=4gtv-4gtv074&sd=1080&proxy=true
華視,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=4gtv-4gtv041&sd=1080&proxy=true
華視新聞,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=4gtv-4gtv052&sd=1080&proxy=true
三立新聞iNEWS,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=iNEWS&sd=1080&proxy=true
中天新聞台,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=4gtv-4gtv009&sd=1080&proxy=true
寰宇新聞台灣台,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=4gtv-4gtv156&sd=1080&proxy=true
寰宇新聞台,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=litv-longturn14&sd=1080&proxy=true
寰宇財經台,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=4gtv-4gtv158&sd=1080&proxy=true
倪珍播新聞,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=nnews-zh&sd=1080&proxy=true
倪珍英語新聞,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=nnews-en&sd=1080&proxy=true
倪珍越南語新聞,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=nnews-vn&sd=1080&proxy=true
好消息,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=litv-ftv16&sd=1080&proxy=true
好消息2台,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=litv-ftv17&sd=1080&proxy=true
第1商業台,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=4gtv-4gtv104&sd=1080&proxy=true
國會頻道1台,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=4gtv-4gtv084&sd=1080&proxy=true
國會頻道2台,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=4gtv-4gtv085&sd=1080&proxy=true
ELTV生活英語台,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=litv-longturn20&sd=1080&proxy=true
Smart知識台,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=litv-longturn19&sd=1080&proxy=true
亞洲旅遊台,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=4gtv-4gtv076&sd=1080&proxy=true
台灣戲劇台,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=litv-longturn22&sd=1080&proxy=true
龍華卡通台,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=litv-longturn01&sd=1080&proxy=true
龍華戲劇台,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=litv-longturn18&sd=1080&proxy=true
龍華偶像台,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=litv-longturn12&sd=1080&proxy=true
龍華日韓台,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=litv-longturn11&sd=1080&proxy=true
龍華經典台,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=litv-longturn21&sd=1080&proxy=true
龍華電影台,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=litv-longturn03&sd=1080&proxy=true
龍華洋片台,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=litv-longturn02&sd=1080&proxy=true
東森購物1台,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=4gtv-4gtv102&sd=1080&proxy=true
東森購物2台,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=4gtv-4gtv103&sd=1080&proxy=true
向風而行,#genre#
第1集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000001M001&sd=1080&proxy=true
第2集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000002M001&sd=1080&proxy=true
第3集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000003M001&sd=1080&proxy=true
第4集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000004M001&sd=1080&proxy=true
第5集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000005M001&sd=1080&proxy=true
第6集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000006M001&sd=1080&proxy=true
第7集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000007M001&sd=1080&proxy=true
第8集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000008M001&sd=1080&proxy=true
第9集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000009M001&sd=1080&proxy=true
第10集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000010M001&sd=1080&proxy=true
第11集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000011M001&sd=1080&proxy=true
第12集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000012M001&sd=1080&proxy=true
第13集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000013M001&sd=1080&proxy=true
第14集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000014M001&sd=1080&proxy=true
第15集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000015M001&sd=1080&proxy=true
第16集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000016M001&sd=1080&proxy=true
第17集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000017M001&sd=1080&proxy=true
第18集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000018M001&sd=1080&proxy=true
第19集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000019M001&sd=1080&proxy=true
第20集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000020M001&sd=1080&proxy=true
第21集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000021M001&sd=1080&proxy=true
第22集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000022M001&sd=1080&proxy=true
第23集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000023M001&sd=1080&proxy=true
第24集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000024M001&sd=1080&proxy=true
第25集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000025M001&sd=1080&proxy=true
第26集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000026M001&sd=1080&proxy=true
第27集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000027M001&sd=1080&proxy=true
第28集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000028M001&sd=1080&proxy=true
第29集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000029M001&sd=1080&proxy=true
第30集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000030M001&sd=1080&proxy=true
第31集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000031M001&sd=1080&proxy=true
第32集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000032M001&sd=1080&proxy=true
第33集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000033M001&sd=1080&proxy=true
第34集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000034M001&sd=1080&proxy=true
第35集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000035M001&sd=1080&proxy=true
第36集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000036M001&sd=1080&proxy=true
第37集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000037M001&sd=1080&proxy=true
第38集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000038M001&sd=1080&proxy=true
第39集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii118@vod60692-000039M001&sd=1080&proxy=true
麻醉風暴,#genre#
麻醉風暴第1集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii158@vod64604-000001M001&sd=1080&proxy=true
麻醉風暴第2集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii158@vod64604-000002M001&sd=1080&proxy=true
麻醉風暴第3集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii158@vod64604-000003M001&sd=1080&proxy=true
麻醉風暴第4集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii158@vod64604-000004M001&sd=1080&proxy=true
麻醉風暴第5集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii158@vod64604-000005M001&sd=1080&proxy=true
麻醉風暴第6集,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii158@vod64604-000006M001&sd=1080&proxy=true
麻醉風暴2第1集 難以撫平的創傷,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii158@vod29411-000001M001&sd=1080&proxy=true
麻醉風暴2第2集 捷運爆炸急救現場,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii158@vod29411-000002M001&sd=1080&proxy=true
麻醉風暴2第3集 創傷小組成立,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii158@vod29411-000003M001&sd=1080&proxy=true
麻醉風暴2第4集 面對過往心結,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii158@vod29411-000004M001&sd=1080&proxy=true
麻醉風暴2第5集 再次見面,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii158@vod29411-000005M001&sd=1080&proxy=true
麻醉風暴2第6集 鼎盛爆炸啟動333,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii158@vod29411-000006M001&sd=1080&proxy=true
麻醉風暴2第7集 不想再救人了,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii158@vod29411-000007M001&sd=1080&proxy=true
麻醉風暴2第8集 炸彈客的自白,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii158@vod29411-000008M001&sd=1080&proxy=true
麻醉風暴2第9集 飯店驚魂一觸即發,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii158@vod29411-000009M001&sd=1080&proxy=true
麻醉風暴2第10集 我們是兩個人,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii158@vod29411-000010M001&sd=1080&proxy=true
麻醉風暴2第11集 萬大器的陰謀,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii158@vod29411-000011M001&sd=1080&proxy=true
麻醉風暴2第12集 罪證確鑿,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii158@vod29411-000012M001&sd=1080&proxy=true
麻醉風暴2第13集 Never give up,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii158@vod29411-000013M001&sd=1080&proxy=true
Yes娛樂,#genre#
小禎跟李進良女兒Emma18歲了 顏值被大讚「根本韓女團成員」網嗨喊：岳母好~,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80315-000000M001&sd=1080&proxy=true
趙露思活動臨時喊卡！疑公司擋財路 親留言怒轟品牌推鍋「把我變瘋子」,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80314-000000M001&sd=1080&proxy=true
玖壹壹祝福Lulu 健志驚吐「她在備孕」？ 官宣日期藏彩蛋！洋蔥爆春風「有可能閃婚」,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80313-000000M001&sd=1080&proxy=true
玖壹壹「南北貳路大海巡」最終站！ 火爆掀翻艋舺青山宮 台下叫到失聲,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80312-000000M001&sd=1080&proxy=true
命理師曝Lulu陳漢典命中注定要在一起！曾是「亡命鴛鴦」前世姻緣超抓馬,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80311-000000M001&sd=1080&proxy=true
Jennie被爆新戀情？牽手約會照流出 好萊塢男星身分遭起底「情侶手鏈」也被扒！,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80310-000000M001&sd=1080&proxy=true
黃景瑜前妻再次發聲兩個被打掉一個 八年糾葛拉鋸戰頻繁爆料網友都累了,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80301-000000M001&sd=1080&proxy=true
黃一鳴直播崩潰哭訴：母親搶走女兒，一個月無法相見,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80300-000000M001&sd=1080&proxy=true
韩国现场：戲劇《暴風圈》 showcase 全智賢、姜棟元、李美淑、朴海俊等,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80299-000000M001&sd=1080&proxy=true
那英老公孟桐被爆帶美女回家 下午進行緊急回應表示只是誤會,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80298-000000M001&sd=1080&proxy=true
胡軍一家為愛女九兒慶24歲生日 盧芳踮腳與女兒親吻畫面好溫馨,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80297-000000M001&sd=1080&proxy=true
網友偶遇黃子韜和徐藝洋拍婚紗照 黃子韜一頭黃髮變胖了拍攝陣仗大,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80296-000000M001&sd=1080&proxy=true
素人女孩追憶于朦朧：八年前機場溫柔相助，斯人若彩虹遇上方知有,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80295-000000M001&sd=1080&proxy=true
徐冬冬尹子維現身胡同試婚紗，年內完成三地婚禮！,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80294-000000M001&sd=1080&proxy=true
導演潘文傑去世終年六十九歲 曾捧紅呂良偉還與周星馳合作,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80293-000000M001&sd=1080&proxy=true
孫儷左眼受傷真相曝光：眼球現明顯紅點，幽默回應“被球撞了”,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80292-000000M001&sd=1080&proxy=true
上海现场：积家红毯 章子怡 易烊千玺 金宇彬 陈慧琳 侯佩岑等,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80291-000000M001&sd=1080&proxy=true
三十七歲男星于朦朧墜樓身亡 原生家庭幸福全家支援他事業,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80290-000000M001&sd=1080&proxy=true
LuLu閃婚！前男友們也發聲了！ 張瑞夫大方送祝福...阿達驚嚇：禮金怎麼包？,http://ali.xg200.52top.com.cn:31009/index.m3u8?pid=ofiii47@vod80289-000000M001&sd=1080&proxy=true
