台湾,#genre#
CNN,mitv://generationnexxxt.com:19806/3745a94cbe904b9480d19a1b5dfc6275.ts
民视,mitv://generationnexxxt.com:19806/b78b3069faa54c1da0db08ec240c9e7e.ts
人间卫视,mitv://generationnexxxt.com:19806/5f46e1c923ff44f6a6e825254840bb9f.ts
台视,mitv://generationnexxxt.com:19806/160dbc27eb144efb9275f15e7b632c3b.ts
大爱,mitv://generationnexxxt.com:19806/b25192bc58094fbab2eadfdf50654422.ts
中视,mitv://generationnexxxt.com:19806/de91397390484776a5102a445a3be901.ts
霹雳台湾台,mitv://generationnexxxt.com:19806/a027185645604bf3a4a9b13ad1116a68.ts
华视,mitv://generationnexxxt.com:19806/2147838df6284802880670e308bab930.ts
公视,mitv://generationnexxxt.com:19806/050058a74d454d5cac99f3aa482ca1d0.ts
好消息,mitv://generationnexxxt.com:19806/c7871ca4a373481d89b21e4c2901b818.ts
原住民电视台,mitv://generationnexxxt.com:19806/2751e88731934cedb8fa8924c78f4f3d.ts
客家电视台,mitv://generationnexxxt.com:19806/adfc3ee865e44ce58c53a16da1bb27b3.ts
国家地理频道,mitv://generationnexxxt.com:19806/9a869b3585c84caf9c7b9a3fa091e44a.ts
探索频道,mitv://generationnexxxt.com:19806/14dd277b71834ab88a92f6546dec3ae2.ts
TLC旅游生活,mitv://generationnexxxt.com:19806/f522964c7c4443bbb4de42df825063fa.ts
动物星球,mitv://generationnexxxt.com:19806/5e52c801c56f4ba499249811817d1fdf.ts
CN卡通频道,mitv://generationnexxxt.com:19806/9416888b4b504892afeb4d99f58246a7.ts
MOMO亲子台,mitv://generationnexxxt.com:19806/c04e318700e14ac5b8ec73dc1e60e1ef.ts
东森幼幼台,mitv://generationnexxxt.com:19806/3fc0434d53774d5bbb6a5ecc6193e3b5.ts
纬来综合台,mitv://generationnexxxt.com:19806/aa9b721926114eef84555394c8aeb676.ts
八大第一台,mitv://generationnexxxt.com:19806/efa382ad79314a09ac2a3453f4279ab2.ts
八大综合台,mitv://generationnexxxt.com:19806/f5089449dc7043439d1758bbb74bee34.ts
三立台湾台,mitv://generationnexxxt.com:19806/2de2f668f5784aa5b6ccb919e6123505.ts
三立都会台,mitv://generationnexxxt.com:19806/60c57b0d3ad940b8ac7cb2ca7db42298.ts
东森综合台,mitv://generationnexxxt.com:19806/776b798c64704abc9191bf0c48695746.ts
超视,mitv://generationnexxxt.com:19806/3c8e861bc974453185332247be8f4aa8.ts
中天综合台,mitv://generationnexxxt.com:19806/44adfda8413345bfa02231d68ada60f6.ts
中天娱乐台,mitv://generationnexxxt.com:19806/6a8a2741905f46f48c16bd5b6000d80e.ts
东森戏剧台,mitv://generationnexxxt.com:19806/c2acef8d4ce8440781092f9c6c310f7c.ts
八大戏剧台,mitv://generationnexxxt.com:19806/ce1d90d9e1254c94a845f28fb7fdf121.ts
TVBS欢乐台,mitv://generationnexxxt.com:19806/6a8a77017c0a4cf2a1353d97de737483.ts
纬来戏剧台,mitv://generationnexxxt.com:19806/a6680a9740024f0aa3f6a67c8626cf64.ts
高点综合台,mitv://generationnexxxt.com:19806/5ac90f312fbd4015a9fc76c2a07b6d28.ts
BBC World News,mitv://generationnexxxt.com:19806/4500941de27f434cae09553a1f0ed4d1.ts
Al Jazeera English,mitv://generationnexxxt.com:19806/03bc1638cc9f4efe9dde7bf6a456bb5b.ts
CNBC,mitv://generationnexxxt.com:19806/8603e70bd41c4e4a9368407a8a4debdd.ts
Bloomberg TV,mitv://generationnexxxt.com:19806/fbf63c9e85084cf98b7e39d2cd178608.ts
HITS,mitv://generationnexxxt.com:19806/be8e6fe7ffd343edb7bec5d01de30204.ts
壹电视新闻台,mitv://generationnexxxt.com:19806/976f5a23754b496db9785a3645fd0e02.ts
年代新闻,mitv://generationnexxxt.com:19806/5f800389d3cf48309a273de89e00edaa.ts
东森新闻台,mitv://generationnexxxt.com:19806/c7b9f50770844e7e9e1b0edd27829d67.ts
中天新闻台,mitv://generationnexxxt.com:19806/0c692a018a96439491b15b7e38dfd5b1.ts
民视新闻台,mitv://generationnexxxt.com:19806/4746b2d132f2467c94a6fc4b25901886.ts
三立新闻台,mitv://generationnexxxt.com:19806/1ba14de53020403aad7bf79af2c68c4f.ts
TVBS新闻台,mitv://generationnexxxt.com:19806/7162cc2ef36d48bdaa7561cda08f0f96.ts
TVBS,mitv://generationnexxxt.com:19806/a67e163d1e06409ab6b91aa10b03c195.ts
东森财经新闻台,mitv://generationnexxxt.com:19806/2033d2706ee24bf6af643fba3b52f957.ts
非凡新闻台,mitv://generationnexxxt.com:19806/1ba34a69ced34e48b8a51a9ef8111589.ts
卫视电影台,mitv://generationnexxxt.com:19806/5382930e1b6d4d87848b2ea1c5408af4.ts
东森电影台,mitv://generationnexxxt.com:19806/12a9884e3f8c4001bea0b328a130ac65.ts
纬来电影台,mitv://generationnexxxt.com:19806/3f15b50db3b142c3b7653d71af90318b.ts
龙祥电影,mitv://generationnexxxt.com:19806/da4d157813624a6380e1fa88be5a4034.ts
HBO,mitv://generationnexxxt.com:19806/2bb7775a3c4a45a4b552f6d819f3c123.ts
东森洋片台,mitv://generationnexxxt.com:19806/9934b0fe4f3e41c2b2c0da6262d7c88e.ts
AXN,mitv://generationnexxxt.com:19806/fd7f630dec3342fca3ba48f1a57315f6.ts
