*_**********_**********_*
．．．．．．．．．．．．．．．．．．．．．．．．．
．．．．．．．．．★︵＿＿＿︵★．．．．．．．．．
．．．．．．．．．／　　　　　＼．．．．．．．．．
．．．．．．．．．︴●　　　●　︴．．．．．．．．
．．．．．．．．．︴≡　﹏　≡　︴．．．．．．．．
．．．．．．．．．＼＿＿＿＿＿／．．．．．．．．．
．．╭╧╮╭╧╮╭╧╮╭╧╮ ╭╧╮╭╧╮╭╧╮╭╧╮．．．．．．．
．．│             
．．╘∞╛╘∞╛╘∞╛╘∞╛╘∞╛╘∞╛╘∞╛．．．．．．．
．．．．．．．．．．．．．．．．．．．．．．．．
//如果你抓包了获取到了直播源，请自用，别公开，谢谢！//

🇨🇳央视频道,#genre#
CCTV-1综合,https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv1_2/index.m3u8$标清
CCTV-2财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?$高清
CCTV-3综艺,http://live.cooltv.top/tv/aishang.php?id=cctv3hd
CCTV-4国际,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?$超清
CCTV-4国际,http://1.195.111.251:11190/tsfile/live/0004_1.m3u8
CCTV-5体育,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?$高清
CCTV-5体育,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?$高清
CCTV-1综合,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv1HD/__op/default/__f/index.m3u8
CCTV-2财经,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv2HD/__op/default/__f/index.m3u8
CCTV-3综艺,http://1.189.99.196/hlsmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/1000/index.m3u8?&encrypt=
CCTV-3综艺,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv3HD/__op/default/__f/index.m3u8
CCTV-3综艺,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv3HD/__op/default/__f//index.m3u8
CCTV-3综艺,http://live.cooltv.top/tv/aishang.php?id=cctv3
CCTV-4国际,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv4HD/__op/default/__f/index.m3u8
CCTV-5体育,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?$高清
CCTV-6电影,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv6HD/__op/default/__f/index.m3u8
CCTV-7国防军事,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv7HD/__op/default/__f/index.m3u8
CCTV-8电视剧,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv8HD/__op/default/__f/index.m3u8
CCTV-9纪录,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv9HD/__op/default/__f/index.m3u8
CCTV-10科教,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?$高清
CCTV-11戏曲,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv11HD/__op/default/__f/index.m3u8
CCTV-12社会与法,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv12HD/__op/default/__f/index.m3u8
CCTV-13新闻,http://cctvwbndali.v.myalicdn.com/cctvwbnd/cctv13_2/index.m3u8$标清
CCTV-13新闻,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?$高清
CCTV-13新闻,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctvnewsHD/__op/default/__f/index.m3u8
