台灣,#genre#
三立臺灣,http://59.125.101.187:8501/http/60.251.39.91:8081/hls/65/807/ch20.m3u8
三立臺灣TW,http://59.125.101.187:8501/playlist.m3u8
三立臺灣,http://59.125.101.187:8731/http/192.168.77.24:8081/hls/65/807/ch20.m3u8?
三立都會,http://59.125.101.187:8732/http/192.168.77.24:8081/hls/65/807/ch19.m3u8?
中天新聞,http://59.125.101.187:8703/http/192.168.77.24:8081/hls/78/80/ch63max.m3u8?
中天新聞,http://59.125.101.187:8701/http/192.168.77.24:8081/hls/67/809/ch27.m3u8?
中天綜合,http://59.125.101.187:8733/http/192.168.77.24:8081/hls/67/809/ch25.m3u8?
中天娛樂,http://59.125.101.187:8734/http/192.168.77.24:8081/hls/67/809/ch26.m3u8?
環宇新聞,http://59.125.101.187:8709/http/192.168.77.24:8081/hls/76/818/ch62.m3u8?
環宇新聞,http://59.125.101.187:8709/http/192.168.77.24:8066/hls/210/10016/cstv16.m3u8?
東森新聞,http://59.125.101.187:8702/http/http/hls//ch.m3u8?
東森新聞,http://59.125.101.187:8702/http/192.168.77.24:8081/hls/63/805/ch10.m3u8?
東森財經,http://59.125.101.187:8770/http/192.168.77.24:8081/hls/63/805/ch11.m3u8?
東森幼幼,http://59.125.101.187:8725/http/192.168.77.24:8081/hls/63/805/ch09.m3u8?
東森超視,http://59.125.101.187:8768/http/192.168.77.24:8081/hls/64/806/ch14.m3u8?
非凡新聞,http://59.125.101.187:8706/http/192.168.77.24:8081/hls/75/817/ch57.m3u8?
非凡商業,http://59.125.101.187:8730/http/192.168.77.24:8081/hls/74/816/ch56.m3u8?
華視新聞,http://59.125.101.187:8704/http/192.168.77.24:8081/hls/75/817/ch58.m3u8?
亞洲旅遊,http://59.125.101.187:8744/http/192.168.77.24:8081/hls/76/818/ch61.m3u8?
寰宇新聞台,http://59.125.101.187:8709/http/192.168.77.24:8081/hls/76/818/ch62.m3u8?
寰宇新聞台,http://59.125.101.187:8709/http/192.168.77.24:8066/hls/210/10016/cstv16.m3u8?
華視新聞,http://59.125.101.187:8704/http/192.168.77.24:8081/hls/75/817/ch58.m3u8?
民視新聞,http://59.125.101.187:8704/http/192.168.77.24:8081/hls/73/815/ch51.m3u8?
華視,http://59.125.101.187:8713/http/192.168.77.24:8088/hls/72/814/ch48.m3u8?
民視,http://59.125.101.187:8714/http/192.168.77.24:8081/hls/73/815/ch49.m3u8?
民視,http://220.134.196.147:9504/hls/73/815/ch49.m3u8
公視,http://59.125.101.187:8705/http/192.168.77.24:8081/hls/73/815/ch50.m3u8?
台視,http://59.125.101.187:8702/http/192.168.77.24:8081/hls/72/814/ch46.m3u8?
壹新聞,http://59.125.101.187:8710/http/192.168.77.24:8081/hls/66/808/ch24.m3u8?
緯來體育,http://59.125.101.187:8763/http/192.168.77.24:8081/hls/67/809/ch28.m3u8?
緯來體育,http://59.125.101.187:8763/http/192.168.77.24:8066/hls/210/10011/cstv11.m3u8?
緯來育樂,http://59.125.101.187:8762/http/192.168.77.24:8081/hls/68/810/ch30.m3u8?
緯來日本,http://59.125.101.187:8771/http/192.168.77.24:8081/hls/69/811/ch34.m3u8?
緯來日本,http://59.125.101.187:8771/http/192.168.77.24:8081/hls/66/808/ch23.m3u8?
緯來日本,http://59.125.101.187:8771/http/192.168.77.24:8081/hls/63/805/ch12.m3u8?
緯來戲劇,http://59.125.101.187:8756/http/192.168.77.24:8081/hls/69/811/ch33.m3u8?
緯來電影,http://59.125.101.187:8710/http/192.168.77.24:8081/hls/71/813/ch44.m3u8?
緯來電影,http://59.125.101.187:8710/http/192.168.77.24:8081/hls/69/811/ch35.m3u8?
緯來綜合,http://59.125.101.187:8770/http/192.168.77.24:8081/hls/68/810/ch32.m3u8?
龍華偶像,http://59.125.101.187:8762/http/192.168.77.24:8066/hls/210/10012/cstv12.m3u8?
龍華偶像,http://59.125.98.83:8536/http/192.168.1.9:8066/hls/210/10012/cstv12.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
龍華卡通,http://59.125.101.187:8761/http/192.168.77.24:8066/hls/210/10013/cstv13.m3u8?
龍華電影,http://59.125.101.187:8768/http/192.168.77.24:8066/hls/210/10014/cstv14.m3u8?
龍華戲劇,http://59.125.98.83:8534/http/192.168.1.9:8066/hls/210/10010/cstv10.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
龍華日韓,http://59.125.98.83:8535/http/192.168.1.9:8066/hls/210/10011/cstv11.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
衛視電影GOLD,http://59.125.101.187:8745/http/192.168.77.24:8081/hls/62/804/ch08.m3u8?
衛視中文,http://59.125.101.187:8720/http/192.168.77.24:8081/hls/62/804/ch05.m3u8?
衛視電影,http://59.125.101.187:8753/http/192.168.77.24:8081/hls/62/804/ch07.m3u8?
衛視電影GOLD,http://59.125.101.187:8745/http/192.168.77.24:8081/hls/62/804/ch08.m3u8?
八大綜合,http://59.125.101.187:8768/http/192.168.77.24:8081/hls/66/808/ch21.m3u8?
八大一台,http://59.125.101.187:8770/http/192.168.77.24:8081/hls/66/808/ch22.m3u8?
好萊塢電影,http://59.125.101.187:8754/http/192.168.77.24:8081/hls/74/816/ch55.m3u8?
耀才財經,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
中國環球電視,http://live.cgtn.com/500/prog_index.m3u8
國興衛視,http://59.125.101.187:8775/http/192.168.77.24:8081/hls/64/806/ch15.m3u8?
東風衛視,http://59.125.101.187:8719/http/192.168.77.24:8081/hls/68/810/ch31.m3u8?
點掌財經,http://cclive2.aniu.tv/live/anzb.m3u8
霹靂臺灣,http://59.125.101.187:8768/http/192.168.77.24:8081/hls/75/817/ch59.m3u8?
momo親子台,http://59.125.101.187:8740/http/192.168.77.24:8081/hls/70/812/ch40.m3u8?
年代MuchTV,http://59.125.101.187:8729/http/192.168.77.24:8081/hls/72/814/ch45.m3u8?
非凡商業,http://59.125.101.187:8730/http/192.168.77.24:8081/hls/74/816/ch56.m3u8?
JET綜合,http://59.125.101.187:8719/http/192.168.77.24:8081/hls/74/816/ch54.m3u8?
Baby TV,http://59.125.101.187:8770/http/192.168.77.24:8078/hls/35/80/babytv.m3u8?
ELEVEN 2,http://59.125.101.187:8768/http/192.168.77.24:8078/hls/26/80/esport2.m3u8?
博斯運動I,http://59.125.101.187:8764/http/192.168.77.24:8066/hls/210/10018/cstv18.m3u8?
博斯運動II,http://59.125.101.187:8768/http/192.168.77.24:8081/hls/61/803/ch04.m3u8?
HBO,http://59.125.101.187:8757/http/192.168.77.24:8081/hls/71/813/ch41.m3u8?
HBO英文,http://vips-livecdn.fptplay.net/hda1/hbo_vhls.smil/chunklist_b5000000.m3u8?bycoca
TLC旅遊生活,http://59.125.101.187:8774/http/192.168.77.24:8081/hls/70/812/ch38.m3u8?
imodeTV,https://juyunlive.juyun.tv/live/24950198.m3u8
CINEMAX,http://59.125.101.187:8761/http/192.168.77.24:8081/hls/71/813/ch42.m3u8?
AXN,http://59.125.101.187:8759/http/192.168.77.24:8081/hls/71/813/ch43.m3u8?
Animax,http://59.125.101.187:8744/http/192.168.77.24:8081/hls/70/812/ch39.m3u8?
StarWorld,http://59.125.101.187:8761/http/192.168.77.24:8081/hls/61/803/ch02.m3u8?
CNBC,http://59.125.101.187:8708/http/192.168.77.24:8078/hls/24/80/cnbc90.m3u8?
民勤,http://39.134.32.103:6610/270000001111/1110000150/index.m3u8?IASHttpSessionId=OTT
ANTV,http://antvlive.ab5c6921.cdnviet.com/antv/playlist.m3u8
法國時尚,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
新視覺HD,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
亞洲旅遊,http://59.125.101.187:8744/http/192.168.77.24:8081/hls/76/818/ch61.m3u8?
阿裡郎電視,http://amdlive-ch01.ctnd.com.edgesuite.net:80/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
臺灣番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
歐洲環遊,http://42.56.91.136:80/live-bvc/285487/live_68057278_4570624.m3u8
大立電視,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
東森電影,http://120.84.96.27:808/hls/32/index.m3u8
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
東森美洲,http://38.64.72.148:80/hls/modn/list/2026/chunklist0.m3u8
