綜合,#genre#
台視,https://pixman.mytvsuper.com.mp/histar?id=ttv
中視,https://pixman.mytvsuper.com.mp/histar?id=ctv
中視菁采台,https://pixman.mytvsuper.com.mp/histar?id=bravo
中視經典台,https://pixman.mytvsuper.com.mp/histar?id=ctv-classic
華視,https://pixman.mytvsuper.com.mp/histar?id=cts
民視,https://pixman.mytvsuper.com.mp/histar?id=ftv
民視臺灣台,https://pixman.mytvsuper.com.mp/histar?id=ftv-tw
民視第一台,https://pixman.mytvsuper.com.mp/histar?id=ftv-one
緯來綜合,https://pixman.mytvsuper.com.mp/histar?id=videoland
八大綜合,https://pixman.mytvsuper.com.mp/histar?id=gtv28
八大第一,https://pixman.mytvsuper.com.mp/histar?id=gtv27
八大精彩台,https://pixman.mytvsuper.com.mp/histar?id=gtv-jct
八大娛樂,https://pixman.mytvsuper.com.mp/histar?id=gtv-86
八大綜藝,https://pixman.mytvsuper.com.mp/histar?id=grt
三立臺灣台,https://pixman.mytvsuper.com.mp/histar?id=settv-taiwan
TVBS Asia,https://pixman.mytvsuper.com.mp/histar?id=tvbs-asia
TVBS 精采台,https://pixman.mytvsuper.com.mp/histar?id=tvbs-jc
TVBS綜藝台,https://pixman.mytvsuper.com.mp/histar?id=tvbs-zongyi
三立綜合台,https://pixman.mytvsuper.com.mp/histar?id=settv-zonghe
中天亞洲,https://pixman.mytvsuper.com.mp/histar?id=cti-asia
KLT-靖天國際台,https://pixman.mytvsuper.com.mp/histar?id=jtgj
ELTA綜合台,https://pixman.mytvsuper.com.mp/histar?id=elta-zonghe
公視,https://pixman.mytvsuper.com.mp/histar?id=pts
公視3台,https://pixman.mytvsuper.com.mp/histar?id=pts-3
公視台語台,https://pixman.mytvsuper.com.mp/histar?id=pts-ty
靖天綜合台,https://pixman.mytvsuper.com.mp/histar?id=jtzh
靖天日本台,https://pixman.mytvsuper.com.mp/histar?id=jtrb
客家電視臺,https://pixman.mytvsuper.com.mp/histar?id=hakkatv
大愛一台,https://pixman.mytvsuper.com.mp/histar?id=daai1
大愛二台,https://pixman.mytvsuper.com.mp/histar?id=daai2
靖天資訊台,https://pixman.mytvsuper.com.mp/histar?id=jtzx
霹靂臺灣台,https://pixman.mytvsuper.com.mp/histar?id=pilitv
綜藝,#genre#
三立都會台,https://pixman.mytvsuper.com.mp/histar?id=settv-city
緯來日本,https://pixman.mytvsuper.com.mp/histar?id=videoland-japan
中天綜合,https://pixman.mytvsuper.com.mp/histar?id=ctitv36
中天娛樂,https://pixman.mytvsuper.com.mp/histar?id=cti-yule
東森超視,https://pixman.mytvsuper.com.mp/histar?id=ebc-super
東森綜合台,https://pixman.mytvsuper.com.mp/histar?id=ebc-ettv
TVBS 歡樂台,https://pixman.mytvsuper.com.mp/histar?id=tvbs-huanle
民視綜藝,https://pixman.mytvsuper.com.mp/histar?id=ftv-reality
韓國娛樂台 KMTV,https://pixman.mytvsuper.com.mp/histar?id=kmtv
