IP:PORT, LOSS, DELAY
162.159.195.40:7156,0.00%,21 ms
162.159.192.219:7156,0.00%,22 ms
162.159.195.192:7156,0.00%,22 ms
162.159.195.221:7156,0.00%,22 ms
162.159.195.124:7152,0.00%,22 ms
162.159.195.20:7156,0.00%,22 ms
162.159.192.66:7152,0.00%,23 ms
162.159.195.95:7156,0.00%,23 ms
162.159.192.148:7152,0.00%,23 ms
162.159.192.131:7152,0.00%,25 ms
162.159.192.148:7156,0.00%,25 ms
162.159.192.106:7152,0.00%,26 ms
162.159.195.95:7152,0.00%,26 ms
162.159.192.8:7152,0.00%,26 ms
162.159.195.221:7152,0.00%,26 ms
162.159.195.88:7152,0.00%,26 ms
162.159.195.213:7152,0.00%,26 ms
162.159.195.213:7156,0.00%,26 ms
162.159.195.137:7156,0.00%,27 ms
162.159.192.30:7152,0.00%,27 ms
162.159.195.112:7156,0.00%,27 ms
162.159.192.219:7152,0.00%,28 ms
162.159.195.192:7152,0.00%,29 ms
162.159.195.174:7156,0.00%,29 ms
162.159.192.66:7156,0.00%,29 ms
162.159.195.112:7152,0.00%,29 ms
162.159.195.124:7156,0.00%,29 ms
162.159.195.137:7152,0.00%,29 ms
162.159.192.72:7152,0.00%,29 ms
162.159.192.72:7156,0.00%,29 ms
162.159.195.174:7152,0.00%,29 ms
162.159.192.92:7152,0.00%,29 ms
162.159.195.20:7152,0.00%,29 ms
162.159.192.19:7156,0.00%,29 ms
162.159.192.19:7152,0.00%,30 ms
162.159.192.131:7156,0.00%,30 ms
162.159.192.92:7156,0.00%,30 ms
162.159.192.106:7156,0.00%,30 ms
162.159.192.156:7152,0.00%,30 ms
162.159.195.91:7152,0.00%,30 ms
162.159.192.156:7156,0.00%,30 ms
162.159.195.40:7152,0.00%,31 ms
162.159.195.150:7152,0.00%,31 ms
162.159.192.30:7156,0.00%,31 ms
162.159.195.88:7156,0.00%,32 ms
162.159.195.91:7156,0.00%,32 ms
162.159.192.8:7156,0.00%,32 ms
162.159.195.150:7156,0.00%,32 ms
188.114.98.182:7152,0.00%,133 ms
188.114.99.26:7152,0.00%,134 ms
188.114.99.66:7152,0.00%,134 ms
188.114.99.74:7152,0.00%,134 ms
188.114.99.217:7156,0.00%,134 ms
188.114.98.209:7152,0.00%,134 ms
188.114.99.187:7156,0.00%,134 ms
188.114.99.217:7152,0.00%,134 ms
188.114.99.144:7152,0.00%,134 ms
188.114.98.224:7152,0.00%,134 ms
188.114.98.72:7152,0.00%,134 ms
188.114.99.143:7152,0.00%,134 ms
188.114.98.8:7156,0.00%,134 ms
188.114.98.35:7152,0.00%,134 ms
188.114.98.209:7156,0.00%,134 ms
188.114.99.143:7156,0.00%,134 ms
188.114.99.26:7156,0.00%,134 ms
188.114.99.74:7156,0.00%,134 ms
188.114.99.228:7152,0.00%,134 ms
188.114.99.54:7156,0.00%,134 ms
188.114.99.144:7156,0.00%,134 ms
188.114.98.95:7152,0.00%,134 ms
188.114.99.251:7156,0.00%,134 ms
188.114.98.8:7152,0.00%,135 ms
188.114.99.142:7152,0.00%,135 ms
188.114.98.95:7156,0.00%,135 ms
188.114.99.66:7156,0.00%,135 ms
188.114.98.224:7156,0.00%,135 ms
188.114.99.62:7152,0.00%,135 ms
188.114.99.54:7152,0.00%,135 ms
188.114.99.187:7152,0.00%,135 ms
188.114.98.73:7156,0.00%,135 ms
188.114.99.228:7156,0.00%,135 ms
188.114.99.142:7156,0.00%,135 ms
188.114.99.62:7156,0.00%,135 ms
188.114.98.72:7156,0.00%,136 ms
188.114.98.43:7156,0.00%,136 ms
188.114.98.35:7156,0.00%,136 ms
188.114.98.43:7152,0.00%,136 ms
188.114.99.239:7152,0.00%,136 ms
188.114.99.251:7152,0.00%,136 ms
188.114.98.73:7152,0.00%,136 ms
188.114.98.235:7156,0.00%,137 ms
188.114.98.248:7152,0.00%,137 ms
188.114.98.235:7152,0.00%,137 ms
188.114.98.100:7152,0.00%,137 ms
188.114.99.239:7156,0.00%,137 ms
188.114.98.248:7156,0.00%,137 ms
188.114.98.182:7156,0.00%,137 ms
188.114.98.100:7156,0.00%,137 ms
188.114.96.169:7156,0.00%,141 ms
188.114.97.0:7152,0.00%,141 ms
188.114.97.0:7156,0.00%,141 ms
188.114.96.124:7156,0.00%,141 ms
188.114.96.119:7156,0.00%,141 ms
188.114.97.16:7152,0.00%,141 ms
188.114.97.215:7156,0.00%,141 ms
188.114.96.124:7152,0.00%,141 ms
188.114.97.243:7152,0.00%,141 ms
188.114.96.99:7152,0.00%,141 ms
188.114.97.195:7156,0.00%,141 ms
188.114.96.57:7156,0.00%,141 ms
188.114.97.243:7156,0.00%,141 ms
188.114.97.215:7152,0.00%,141 ms
188.114.96.16:7156,0.00%,141 ms
188.114.97.160:7152,0.00%,142 ms
188.114.97.5:7156,0.00%,142 ms
188.114.96.169:7152,0.00%,142 ms
188.114.97.75:7152,0.00%,142 ms
188.114.96.139:7156,0.00%,142 ms
188.114.97.112:7152,0.00%,142 ms
188.114.97.234:7156,0.00%,142 ms
188.114.97.112:7156,0.00%,142 ms
188.114.97.160:7156,0.00%,142 ms
188.114.96.127:7156,0.00%,142 ms
188.114.96.119:7152,0.00%,142 ms
188.114.97.126:7156,0.00%,142 ms
188.114.96.173:7152,0.00%,142 ms
188.114.96.127:7152,0.00%,142 ms
188.114.97.16:7156,0.00%,142 ms
188.114.97.126:7152,0.00%,142 ms
188.114.97.179:7152,0.00%,143 ms
188.114.97.21:7152,0.00%,143 ms
188.114.96.173:7156,0.00%,143 ms
188.114.96.52:7156,0.00%,143 ms
188.114.97.21:7156,0.00%,143 ms
188.114.97.234:7152,0.00%,143 ms
188.114.97.195:7152,0.00%,143 ms
188.114.96.99:7156,0.00%,143 ms
188.114.97.179:7156,0.00%,143 ms
188.114.96.250:7156,0.00%,143 ms
188.114.97.75:7156,0.00%,143 ms
188.114.96.57:7152,0.00%,143 ms
188.114.97.5:7152,0.00%,143 ms
188.114.96.250:7152,0.00%,143 ms
188.114.96.139:7152,0.00%,143 ms
188.114.96.52:7152,0.00%,143 ms
188.114.96.16:7152,0.00%,143 ms
162.159.193.96:7156,100.00%,1000 ms
162.159.204.127:7152,100.00%,1000 ms
162.159.193.96:7152,100.00%,1000 ms
162.159.193.103:7156,100.00%,1000 ms
162.159.193.249:7152,100.00%,1000 ms
162.159.193.149:7152,100.00%,1000 ms
162.159.204.170:7152,100.00%,1000 ms
162.159.193.249:7156,100.00%,1000 ms
162.159.193.89:7152,100.00%,1000 ms
162.159.193.129:7152,100.00%,1000 ms
162.159.204.26:7152,100.00%,1000 ms
162.159.193.216:7156,100.00%,1000 ms
162.159.193.232:7152,100.00%,1000 ms
162.159.193.201:7156,100.00%,1000 ms
162.159.193.163:7152,100.00%,1000 ms
162.159.204.170:7156,100.00%,1000 ms
162.159.204.30:7156,100.00%,1000 ms
162.159.204.155:7156,100.00%,1000 ms
162.159.193.211:7156,100.00%,1000 ms
162.159.204.127:7156,100.00%,1000 ms
162.159.193.89:7156,100.00%,1000 ms
162.159.204.155:7152,100.00%,1000 ms
162.159.204.149:7156,100.00%,1000 ms
162.159.204.90:7156,100.00%,1000 ms
162.159.193.232:7156,100.00%,1000 ms
162.159.193.120:7156,100.00%,1000 ms
162.159.204.86:7156,100.00%,1000 ms
162.159.204.249:7156,100.00%,1000 ms
162.159.204.2:7156,100.00%,1000 ms
162.159.204.149:7152,100.00%,1000 ms
162.159.204.86:7152,100.00%,1000 ms
162.159.204.130:7156,100.00%,1000 ms
162.159.204.2:7152,100.00%,1000 ms
162.159.193.16:7152,100.00%,1000 ms
162.159.204.164:7156,100.00%,1000 ms
162.159.204.26:7156,100.00%,1000 ms
162.159.193.211:7152,100.00%,1000 ms
162.159.193.163:7156,100.00%,1000 ms
162.159.204.249:7152,100.00%,1000 ms
162.159.193.175:7156,100.00%,1000 ms
162.159.193.201:7152,100.00%,1000 ms
162.159.193.216:7152,100.00%,1000 ms
162.159.204.90:7152,100.00%,1000 ms
162.159.193.149:7156,100.00%,1000 ms
162.159.204.164:7152,100.00%,1000 ms
162.159.193.16:7156,100.00%,1000 ms
162.159.204.30:7152,100.00%,1000 ms
162.159.193.120:7152,100.00%,1000 ms
162.159.193.129:7156,100.00%,1000 ms
162.159.204.39:7156,100.00%,1000 ms
162.159.193.103:7152,100.00%,1000 ms
162.159.204.39:7152,100.00%,1000 ms
162.159.204.130:7152,100.00%,1000 ms
162.159.193.175:7152,100.00%,1000 ms
